title,type,url_slug,venue,date,location,talk_url,description
African Cenozoic hotpot tectonism: new insights from continent-scale body-wave tomography,Poster,AGU_AFR,American Geophysical Union,2017-12-15,"New Orleans, US",https://agu.confex.com/agu/fm17/meetingapp.cgi/Paper/279755,"The African plate is an ideal study locale for mantle plumes and Cenozoic hotspot tectonism. On the eastern side of the continent, the uplifted East African and Ethiopian plateaus, and the 30Ma Ethiopian Traps, are widely considered to be the result of the African Superplume: a broad thermochemical anomaly that originates below southern Africa. Precisely where and how the superplume traverses the mantle transition zone is debated however. On the western side of the continent, the Cameroon Volcanic Line is a hotspot track with no age-progression; it is less easily attributed to the effects of a mantle plume. Central to our understanding of these issues is an improved picture of mantle seismic structure. Body-wave studies of African mantle wave-speed structure are typically limited to regional relative arrival-time studies that utilize data from temporary seismograph networks of aperture less than 1000km. The resulting tomographic images are higher resolution than continent-scale surface-wave models, but anomaly amplitudes cannot be compared from region to region using the relative arrival-time approach: the 0% contour in each region refers to the regional, not global mean. The challenge is thus to incorporate the often-noisy body-wave data from temporary seismograph networks into a continent-scale absolute delay-time model. We achieve this using the new Absolute Arrival-time Recovery Method (AARM) method of Boyce et. al., (2017) and the tomographic inversion approach described by Li et. al., (2008). We invert for mantle wavespeed structure using data recorded since 1990 by temporary networks in the Atlas Mountains, Cameroon, South Africa, East African Rift system, Ethiopia and Madagascar. Our model is well resolved to lower mantle depths beneath these temporary networks, and offers the most detailed picture yet of mantle wavespeed structure beneath Africa. The contrast between East African and Cameroon mantle structure suggests multiple development mechanisms for hotspot tectonism across the African continent."
Investigating eastern North America using seismic tomography,Talk [invited],CAM_GEO_SEM,Bullard Laboratories,2018-11-07,"Cambridge, UK",,
The internal structure of the African superplume; insights from body-wave seismic tomography and converted phases,Poster,AGU,American Geophysical Union,2018-12-14,"Washington, D.C., US",https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/349601,"Originating below southern Africa, the African superplume, is a ubiquitous observation in global seismic tomographic images as a broad thermochemical anomaly. It is widely considered to have caused the ~30Ma volcanism at the Ethiopian traps and uplifted plateaus of eastern Africa. However, exactly how and where this feature crosses the mantle transition zone is debated. Further, internal heterogeneity within the plume itself has not been unambiguously observed, features predicted following studies of the south Pacific superplume. Key to resolving these issues are detailed seismic tomographic images and localised short-wavelength observations from converted seismic phases. Continental-scale surface wave imaging is lower resolution than regional body-wave studies of the mantle beneath Africa. The often-noisy data derived from these temporary networks of <1500km aperture, is routinely processed using relative arrival-times but these datasets cannot be combined across the entire African plate due to the loss of the mean background velocity structure. The development of Absolute Arrival-time Recovery Method (AARM) method of Boyce et. al., (BSSA: 2017) allows incorporation of P-wave data from all networks that have operated since 1990 in the Atlas Mountains, Cameroon, South Africa, the East African Rift system, and Ethiopia into the most up-to-date continental absolute delay-time P-wave mantle tomographic model for the African continent. Our model is well resolved to lower mantle depths beneath these temporary networks. We also present a new compilation of receiver function stacks that help constrain topography of sharp discontinuities above the south African LLSVP within the superplume."
Probing the Impact of Multiple Upwellings on the African Mantle Transition Zone using Converted Seismic Phases,Poster,UKSEDI,Study of Earth's Deep Interior,2019-05-09,"London, UK",,"The African continent is largely void of recent subduction but is thought to be underlain by multiple distinct thermochemical upwellings that may originate below the mantle transition zone. Most notably, the African superplume, is widely considered to have caused the ~30Ma volcanism at the Ethiopian traps and uplifted plateaus of eastern Africa. Internal heterogeneity within the superplume below the mantle transition zone has not, as yet, been unambiguously observed, a feature predicted following studies of the south Pacific superplume. Further, numerous other distinct loci of Cenozoic volcanism throughout Africa are often linked to more localised upwellings, but this remains uncertain. Africa therefore presents an ideal setting to investigate the impact of thermochemical upwellings on the mantle transition zone to understand the dynamics of mantle upwellings in a continental setting. Key to better understanding these issues are localised short-wavelength observations from converted seismic phases. Here we present a new compilation of P-to-s receiver function stacks derived from publicly available seismograph networks across Africa from 1990 to the present day. We capitalise on a new high-resolution P-wave absolute velocity model for the African continent (Boyce et al., in prep.) to migrate our receiver functions to depth. Our consistent, continent-wide data processing and quality control procedure enables direct comparison between adjacent regions/tectonic environments. Our results will be used to constrain potential scatterers above the African LLSVP, within the superplume, and map discontinuity topography beneath Africa."
The Impact of Multiple Upwellings on the Mantle Transition Zone Beneath the African Continent; Insights from Converted Seismic Phases.,Talk,IUGG,International Union of Geodesy and Geophysics ,2019-07-16,"Montreal, Canada",https://www.czech-in.org/cmPortalV15/CM_W3_Searchable/iugg19/normal#!abstractdetails/0000748480,"The African continent is largely void of recent subduction but is thought to be underlain by multiple distinct thermochemical upwellings that may originate below the mantle transition zone. Most notably, the African superplume, is widely considered to have caused the ~30Ma volcanism at the Ethiopian traps and uplifted plateaus of eastern Africa. Internal heterogeneity within the superplume below the mantle transition zone has not, as yet, been unambiguously observed, a feature predicted following studies of the south Pacific superplume. Further, numerous other distinct loci of Cenozoic volcanism throughout Africa are often linked to more localised upwellings, but this remains uncertain. Africa therefore presents an ideal setting to investigate the impact of thermochemical upwellings on the mantle transition zone to understand the dynamics of mantle upwellings in a continental setting. Key to better understanding these issues are localised short-wavelength observations from converted seismic phases. Here we present a new compilation of P-to-s receiver function stacks derived from publicly available seismograph networks across Africa from 1990 to the present day. We capitalise on a new high-resolution P-wave absolute velocity model for the African continent (Boyce et al., in prep.) to migrate our receiver functions to depth. Our consistent, continent-wide data processing and quality control procedure enables direct comparison between adjacent regions/tectonic environments. Our results will be used to constrain potential scatterers above the African LLSVP, within the superplume, and map discontinuity topography beneath Africa."
The Variable Seismic Signatures of Upwellings in the Transition Zone and Mid-mantle beneath Africa,Poster,AGU,American Geophysical Union,2019-12-11,"San Francisco, US",https://agu.confex.com/agu/fm19/meetingapp.cgi/Paper/502628,"The African superplume, is widely considered to have caused the ∼30Ma volcanism at the Ethiopian traps and has frequently been linked to other distinct loci of cenozoic volcanism across Africa. The contribution of more localised upwellings to African volcanism, that may or may not originate below the mantle transition zone is the subject of considerable debate. Observations of seismic discontinuities from the mantle transition zone and deeper within the mid-mantle can provide insight into the variable thermochemical nature of upwellings beneath Africa, that can be reconciled with their surface expressions. Here we present observations of seismic discontinuities beneath Africa obtained from a compilation of P-to-s receiver functions derived from publicly available seismograph networks across Africa from 1990 to the present day. We capitalise on a new high-resolution P-wave absolute velocity model for the African continent (Boyce et al., in prep.) to migrate our receiver functions to depth prior to common conversion point stacking. Our results illuminate a heterogeneous mantle transition zone beneath the East African and Main Ethiopian rifts. Preliminary results also indicate a seismic conversion from ∼1000km depth beneath the East African rift, co-located with slow wavespeeds associated with the African superplume, suggesting the presence of a mid-mantle phase transition within the plume material. These observations support the view that more than one mantle upwelling of variable thermochemical nature has contributed to recent volcanism in east Africa. [Poster available here](/files/AGU_2019_RF_Poster_AB.pdf)"
Deep Mantle Contributions to African Volcanism Revealed by Absolute P-wave Tomography and Transition-Zone Receiver Functions,Talks,AGU,American Geophysical Union,2020-12-10,Virtual,https://agu.confex.com/agu/fm20/meetingapp.cgi/Paper/671891,"African Cenozoic volcanism is attributed to mantle upwellings at a variety of scales. Within East Africa, much of the along-rift volcanism has been linked to the African Superplume and underlying large low velocity province (LLVP) on the core mantle boundary. Elsewhere, upper mantle convective instabilities may dominate. The thermochemical properties of African mantle upwellings can be constrained by combining both wavespeed and converted wave observations. However, previous tomographic models possess depth and/or resolution limitations, while comparisons between regional transition-zone studies are hindered by the varying methods used to measure seismic discontinuity depth. To address this, we develop a new continental P-wave tomographic model facilitating resolution of upper-to-lower mantle structure using the Absolute Arrival-time Recovery Method (Boyce et al., 2017) to extract >87,000 residuals from all freely-available broadband African seismograph deployments active from 1990-2019. Using identical station distribution, we utilise this new tomographic model within common conversion point (CCP) stacks of >28,000 newly compiled P-to-s (Pds, PPds, and PKPds) receiver functions to interrogate mantle transition-zone discontinuities below Africa for thermochemical signatures. The broad heterogeneous African Superplume reaches the upper mantle below the southern East African rift. Here, depression of both transition-zone discontinuities underlain by additional seismic conversions at ~1050km depth strongly support a thermochemical upwelling from the African LLVP. Further north, below Ethiopia/Afar, we image a second whole-mantle slow wavespeed anomaly rooted at the core-mantle boundary outside the African LLVP. The Ethiopian rift is underlain by a depressed d410 and uplifted d660 indicative of a predominantly thermal anomaly at transition-zone depths. Our results indicate multiple whole-mantle plumes, with variable thermochemical properties, sourced disparately at the core-mantle boundary contribute to East African rift magmatism. Elsewhere, slow wavespeeds and a thinned mantle transition-zone below Cameroon and Madagascar hint at a contribution to volcanism from below the upper mantle."
Insights into Deep Mantle Upwellings below Africa from Absolute P-wave Tomography and Transition-Zone Receiver Functions,Talk [invited],ENS_Lyon,ENS Lyon,2020-12-16,Virtual,,
Absolute P-wave Tomography and Transition-Zone Receiver Functions Reveals Deep Mantle Contributions to African Volcanism,Talk [invited],Leed_Seis,Leed Seismology Group,2021-04-12,Virtual,,
"Constraints on the Mantle Wavespeed and Discontinuity Structure below the Turkana Depression, East Africa: Insights into Topographic Development and Ethiopian Flood Basalt Volcanism",Poster,AGU,American Geophysical Union,2021-12-14,Virtual,https://www.essoar.org/doi/abs/10.1002/essoar.10508941.2,"The subdued topography of the Turkana Depression separates the elevated Ethiopian and Kenyan Plateaus in East Africa. Mechanisms to explain its topography are debated because constraints on upper mantle structure and dynamics are lacking. Attempts to understand the role of the mantle below Turkana in the evolution of rifting between the Main Ethiopian and Southern East African rifts and the onset of Ethiopian Flood Basalt volcanism are also hindered by limited data availability. Here, recently deployed seismic networks in Turkana and neighboring Uganda enable us to develop a new absolute P-wavespeed tomographic model (AFRP21) to image mantle structure below the Turkana depression. Additionally, we use P-to-s receiver functions to map the mantle transition zone (MTZ) discontinuity structure. In the shallow mantle, broadly distributed slow wavespeeds reside below the Main Ethiopian rift. To the south, slow wavespeeds occur in a focused zone below the East African rift, but beneath the northern Turkana depression these are cross-cut by a narrow E-W band of fast wavespeeds. At upper MTZ depths slow wavespeeds are broadly continuous below the East African rift but begin to separate into two distinct anomalies at the base of the MTZ. While receiver functions reveal a broadly thinned MTZ below Cenozoic rift-related magmatism in East Africa, the thinnest transition zone exists below the Turkana Depression. Slow wavespeeds and a thinned MTZ below the Turkana Depression indicate hot upwelling material, thus its low-lying nature is not due to the lack of underlying dynamic support. Instead, the depressed topography may be better explained by Mesozoic-Cenozoic E-W rifting associated with the imaged shallow fast wavespeed band. Furthermore, the main eruptive phase of Ethiopian Flood basalt volcanism may be associated with the African plate’s position over the anomalously thinned MTZ in Turkana at ~30Ma."
The Mantle Seismic Structure below Canada and Alaska Constrained by a New Absolute P-wavespeed Tomographic Model,Poster,AGU,American Geophysical Union,2021-12-17,Virtual,https://www.essoar.org/doi/abs/10.1002/essoar.10509005.1,"Mapping absolute P-wavespeeds in the Canadian and Alaskan mantle will further our understanding of its present-day state and evolution. S-wavespeeds are relatively well constrained, especially across Canada, but are primarily sensitive to temperature while complimentary P-wavespeed constraints provide better sensitivity to compositional variations. One technical issue concerns the difficulties in extracting absolute arrival-time measurements from often-noisy data recorded by temporary seismograph networks. Such processing is required to ensure that regional Canadian datasets are compatible with supplementary continental and global datasets provided by global pick databases. To address this, we utilize the Absolute Arrival-time Recovery Method (Boyce et al., 2017). We extract over 180,000 new absolute arrival-time residuals from seismograph stations across Canada and Alaska that include both land and ocean bottom seismometers. We combine these data with the latest USArray P-wave arrival-time data from the contiguous US and Alaska. Using an adaptively parameterised least-squares tomographic inversion we develop a new absolute P-wavespeed model, with focus on Canada and Alaska (CAP21). Initial results suggest fast wavespeeds characterise the upper mantle beneath eastern and northern Canada. A sharp transition between the slow wavespeeds below the North American Cordillera and the fast wavespeeds of the stable continental interior appears to follow the Cordilleran Deformation Front (CDF) in southwest Canada. Slow wavespeeds below the Mackenzie Mountains may extend further inland of the CDF in northwest Canada. In Alaska, CAP21 illuminates both lithospheric structure and the along strike morphology of the subducting slab. The newly compiled data may also improve resolution of subducted slab remnants in the mid-mantle below the North American continent, crucial to help constrain the formation of the Alaskan peninsular at ≥50Ma."
